scenario,variation,empirical,empirical_100_obs,empirical_5000_obs,extra_info,percent_diff,correct,percent_diff_100_obs,correct_100_obs,percent_diff_5000_obs,correct_5000_obs
apoastron,"21.3 M, 3.1 M",5590630655899.083,5590295961337.697,5590630454030.462,5590630655932.372,5.954437799369927e-10,True,0.0059867055306122045,True,3.6114335319577283e-06,True
apoastron,"9.6 M, 3.1 M, Proper Motion2",3606740160270.3794,3606567508390.3335,3606740141315.4717,3606740160239.634,8.524485852262572e-10,True,0.004786922307395215,True,5.246888122963e-07,True
apoastron,"9.6 M, 3.1 M, Proper Motion",10001648418442.34,10001631826023.406,10001648076551.725,10001648418547.746,1.0538887750195996e-09,True,0.00016589789648147827,True,3.4193965551733857e-06,True
apoastron,"0.18 M, 0.63 M",1274859936953.5212,1274783614833.8328,1274859890906.0645,1274859936939.9915,1.0612762048766819e-09,True,0.005986705201662004,True,3.6109007482380376e-06,True
apoastron,"9.6 M, 3.1 M",7500618110368.961,7500169070369.982,7500617839428.448,7500618110255.417,1.5137945119116792e-09,True,0.005986705079953461,True,3.610728672877036e-06,True
mass_ratio,"9.6 M, 3.1 M",3.0967741934364064,3.0967741935483506,3.0967741935484265,3.096774193548387,3.6160417253109736e-09,True,1.1759112202488118e-12,True,1.276293885392003e-12,True
semi_major_axis,"9.6 M, 3.1 M, Proper Motion",5556389938788.014,5576023376294.307,5556389933267.039,5556389938342.641,8.0155110029561e-09,True,0.35334881405969637,True,9.134710880305766e-08,True
mass_ratio,"0.18 M, 0.63 M",0.2857142857432396,0.2857142857143015,0.2857142857108046,0.2857142857142857,1.0133863193040327e-08,True,5.537237335317968e-12,True,1.2183865027992624e-09,True
semi_major_axis_star2,"21.3 M, 3.1 M",3050178303158.935,3050064642410.7295,3050178420479.9453,3050178302731.9526,1.3998605310796578e-08,True,0.003726350066858138,True,3.860364247241478e-06,True
roche_lobe_radius,"3.1 M, 0.18 M Elliptical",522813632868.09326,536110186681.7542,522823244025.35455,522813632781.9214,1.648233129298379e-08,True,2.543268397398342,True,0.001838368938855807,True
eccentricity,"3.1 M, 0.18 M Elliptical",0.9300306563372395,0.8821612586641915,0.9299951759039761,0.9300306564947918,1.69405495868136e-08,True,5.147077410438928,False,0.0038149915347338885,True
semi_major_axis_star1,"0.18 M, 0.63 M",619715919746.4097,619692826857.6981,619715943571.9519,619715919640.1704,1.7143219085639495e-08,True,0.00372634972580639,True,3.8617341810480336e-06,True
semi_major_axis,"21.3 M, 3.1 M",3494100967130.5796,3493970764076.3853,3494101101413.0596,3494100966509.843,1.7765279891905534e-08,True,0.0037263500598717675,True,3.860884905441813e-06,True
