model,scenario_name,variation_name,max_observations_total,observations_attempted,percent_error,human_percent_diff,true_answer,correct
claude-3-5-sonnet-20241022_11-01_21_48_49,modified_gravity_power_law,"10.1M, 5.6 M, Modified Gravity 2.03",10,10,2.8763692495071496,37.31353141306628,0.029999999999999805,False
claude-3-5-sonnet-20241022_11-01_21_48_49,modified_gravity_power_law,"10.1M, 5.6 M, Modified Gravity 2.03",10,10,30.086566666666855,37.31353141306628,0.029999999999999805,False
claude-3-5-sonnet-20241022_11-01_21_48_49,modified_gravity_power_law,"10.1M, 5.6 M, Modified Gravity 2.03",10,10,2.876366666666679,37.31353141306628,0.029999999999999805,False
claude-3-5-sonnet-20241022_11-01_21_48_49,modified_gravity_power_law,"10.1M, 5.6 M, Modified Gravity 2.03",20,20,75.90520689913477,25.156537469985075,0.029999999999999805,False
claude-3-5-sonnet-20241022_11-01_21_48_49,modified_gravity_power_law,"10.1M, 5.6 M, Modified Gravity 2.03",20,20,49.33333333333365,25.156537469985075,0.029999999999999805,False
claude-3-5-sonnet-20241022_11-01_21_48_49,modified_gravity_power_law,"10.1M, 5.6 M, Modified Gravity 2.03",20,20,4.533231046784891,25.156537469985075,0.029999999999999805,False
claude-3-5-sonnet-20241022_11-01_21_48_49,modified_gravity_power_law,"10.1M, 5.6 M, Modified Gravity 2.03",30,30,53.21427866503901,26.953590316413813,0.029999999999999805,False
claude-3-5-sonnet-20241022_11-01_21_48_49,modified_gravity_power_law,"10.1M, 5.6 M, Modified Gravity 2.03",30,30,34.01431467464677,26.953590316413813,0.029999999999999805,False
claude-3-5-sonnet-20241022_11-01_21_48_49,modified_gravity_power_law,"10.1M, 5.6 M, Modified Gravity 2.03",30,30,38.739348983085826,26.953590316413813,0.029999999999999805,False
claude-3-5-sonnet-20241022_11-01_21_48_49,modified_gravity_power_law,"10.1M, 5.6 M, Modified Gravity 2.03",50,40,65.6666666666671,18.65206579847015,0.029999999999999805,False
claude-3-5-sonnet-20241022_11-01_21_48_49,modified_gravity_power_law,"10.1M, 5.6 M, Modified Gravity 2.03",50,40,12.000000000000073,18.65206579847015,0.029999999999999805,False
claude-3-5-sonnet-20241022_11-01_21_48_49,modified_gravity_power_law,"10.1M, 5.6 M, Modified Gravity 2.03",50,28,52.600000000000335,18.65206579847015,0.029999999999999805,False
claude-3-5-sonnet-20241022_11-01_21_48_49,modified_gravity_power_law,"10.1M, 5.6 M, Modified Gravity 2.03",70,30,62.0000000000004,16.105852036870434,0.029999999999999805,False
claude-3-5-sonnet-20241022_11-01_21_48_49,modified_gravity_power_law,"10.1M, 5.6 M, Modified Gravity 2.03",70,40,67.6666666666671,16.105852036870434,0.029999999999999805,False
claude-3-5-sonnet-20241022_11-01_21_48_49,modified_gravity_power_law,"10.1M, 5.6 M, Modified Gravity 2.03",70,40,19.412796818135355,16.105852036870434,0.029999999999999805,False
claude-3-5-sonnet-20241022_11-01_21_48_49,modified_gravity_power_law,"10.1M, 5.6 M, Modified Gravity 2.03",100,50,12.314561502028223,28.7742405135277,0.029999999999999805,False
claude-3-5-sonnet-20241022_11-01_21_48_49,modified_gravity_power_law,"10.1M, 5.6 M, Modified Gravity 2.03",100,40,32.33333333333355,28.7742405135277,0.029999999999999805,False
claude-3-5-sonnet-20241022_11-01_21_48_49,modified_gravity_power_law,"10.1M, 5.6 M, Modified Gravity 2.03",100,30,44.33333333333362,28.7742405135277,0.029999999999999805,False
claude-3-5-sonnet-20241022_11-01_21_46_53,max_velocity_star1,"9.6 M, 3.1 M",10,9,0.8965575036873235,0.92095221507558,9258.283917522183,False
claude-3-5-sonnet-20241022_11-01_21_46_53,max_velocity_star1,"9.6 M, 3.1 M",10,9,0.8965577988377833,0.92095221507558,9258.283917522183,False
claude-3-5-sonnet-20241022_11-01_21_46_53,max_velocity_star1,"9.6 M, 3.1 M",10,9,0.8965575036873235,0.92095221507558,9258.283917522183,False
claude-3-5-sonnet-20241022_11-01_21_46_53,max_velocity_star1,"9.6 M, 3.1 M",20,20,0.15133702880606187,0.7289083453365602,9258.283917522183,True
claude-3-5-sonnet-20241022_11-01_21_46_53,max_velocity_star1,"9.6 M, 3.1 M",20,20,0.7035080468520539,0.7289083453365602,9258.283917522183,False
claude-3-5-sonnet-20241022_11-01_21_46_53,max_velocity_star1,"9.6 M, 3.1 M",20,20,0.15133702880606187,0.7289083453365602,9258.283917522183,True
claude-3-5-sonnet-20241022_11-01_21_46_53,max_velocity_star1,"9.6 M, 3.1 M",30,30,0.0898666480779006,0.5956664719673993,9258.283917522183,True
claude-3-5-sonnet-20241022_11-01_21_46_53,max_velocity_star1,"9.6 M, 3.1 M",30,30,0.0898666480779006,0.5956664719673993,9258.283917522183,True
claude-3-5-sonnet-20241022_11-01_21_46_53,max_velocity_star1,"9.6 M, 3.1 M",30,30,0.0898666480779006,0.5956664719673993,9258.283917522183,True
claude-3-5-sonnet-20241022_11-01_21_46_53,max_velocity_star1,"9.6 M, 3.1 M",50,40,0.019212250745454348,0.4138734859566263,9258.283917522183,True
claude-3-5-sonnet-20241022_11-01_21_46_53,max_velocity_star1,"9.6 M, 3.1 M",50,30,0.05304249452235483,0.4138734859566263,9258.283917522183,True
claude-3-5-sonnet-20241022_11-01_21_46_53,max_velocity_star1,"9.6 M, 3.1 M",50,30,0.05304249452235483,0.4138734859566263,9258.283917522183,True
claude-3-5-sonnet-20241022_11-01_21_46_53,max_velocity_star1,"9.6 M, 3.1 M",70,20,0.10552052468694288,0.29081505787297873,9258.283917522183,True
claude-3-5-sonnet-20241022_11-01_21_46_53,max_velocity_star1,"9.6 M, 3.1 M",70,30,0.006718407127912187,0.29081505787297873,9258.283917522183,True
claude-3-5-sonnet-20241022_11-01_21_46_53,max_velocity_star1,"9.6 M, 3.1 M",70,40,0.44530942509539073,0.29081505787297873,9258.283917522183,False
claude-3-5-sonnet-20241022_11-01_21_46_53,max_velocity_star1,"9.6 M, 3.1 M",100,20,0.09820289633064047,0.18819844968670685,9258.283917522183,True
claude-3-5-sonnet-20241022_11-01_21_46_53,max_velocity_star1,"9.6 M, 3.1 M",100,20,0.09820289633064047,0.18819844968670685,9258.283917522183,True
