time,star1_x,star1_y,star1_z,star2_x,star2_y,star2_z
15359.963559157586,-99885629927.11275,700535463137.0896,0.0,149793725404.2569,69034253984.89221,0.0
30719.927118315172,-99771120011.73904,701070572578.9568,0.0,149587198592.6007,68069145884.381836,0.0
46079.89067747276,-99656471219.03186,701605329478.9524,0.0,149380421305.75385,67104673618.31836,0.0
61439.854236630345,-99541684506.46567,702139734985.4636,0.0,149173395270.58978,66140835115.503296,0.0
76799.81779578794,-99426760823.90756,702673790241.9346,0.0,148966122200.26184,65177628313.65393,0.0
92159.78135494553,-99311701113.68796,703207496386.8854,0.0,148758603794.33002,64215051159.36755,0.0
107519.74491410312,-99196506310.67,703740854553.9331,0.0,148550841738.88696,63253101608.085205,0.0
122879.70847326072,-99081177342.3189,704273865871.8109,0.0,148342837706.6823,62291777624.05505,0.0
138239.6720324183,-98965715128.76999,704806531464.3895,0.0,148134593357.24588,61331077180.29724,0.0
153599.6355915759,-98850120582.89647,705338852450.6959,0.0,147926110337.00967,60370998258.566284,0.0
168959.5991507335,-98734394610.37614,705870829944.934,0.0,147717390279.42834,59411538849.31555,0.0
184319.5627098911,-98618538109.75775,706402465056.5049,0.0,147508434805.09875,58452696951.66113,0.0
199679.52626904869,-98502551972.5264,706933758890.0269,0.0,147299245521.87793,57494470573.34473,0.0
215039.48982820628,-98386437083.1684,707464712545.3557,0.0,147089824025.00006,56536857730.69824,0.0
230399.45338736387,-98270194319.23538,707995327117.6046,0.0,146880171897.19232,55579856448.60681,0.0
245759.41694652147,-98153824551.40787,708525603697.1643,0.0,146670290708.78912,54623464760.47241,0.0
261119.38050567906,-98037328643.55806,709055543369.7236,0.0,146460182017.8457,53667680708.1781,0.0
276479.3440648366,-97920707452.81203,709585147216.289,0.0,146249847370.25018,52712502342.051025,0.0
291839.3076239942,-97803961829.61127,710114416313.2054,0.0,146039288299.83453,51757927720.82666,0.0
307199.27118315175,-97687092617.7736,710643351732.1759,0.0,145828506328.48447,50803954911.61206,0.0
322559.2347423093,-97570100654.5535,711171954540.2816,0.0,145617502966.24817,49850581989.84985,0.0
337919.1983014669,-97452986770.70166,711700225800.0027,0.0,145406279711.44397,48897807039.28186,0.0
353279.16186062444,-97335751790.5242,712228166569.2373,0.0,145194838050.76678,47945628151.912476,0.0
368639.125419782,-97218396531.94098,712755777901.3224,0.0,144983179459.3935,46994043427.97327,0.0
383999.0889789396,-97100921806.54347,713283060845.0538,0.0,144771305401.0873,46043050975.886475,0.0
399359.05253809714,-96983328419.6521,713810016444.7059,0.0,144559217328.3011,45092648912.228516,0.0
414719.0160972547,-96865617170.37279,714336645740.0515,0.0,144346916682.27948,44142835361.69409,0.0
430078.97965641227,-96747788851.65315,714862949766.3828,0.0,144134404893.16016,43193608457.06067,0.0
445438.94321556983,-96629844250.33794,715388929554.5304,0.0,143921683380.07382,42244966339.15173,0.0
460798.9067747274,-96511784147.22404,715914586130.8832,0.0,143708753551.2434,41296907156.801025,0.0
476158.87033388496,-96393609317.11478,716439920517.409,0.0,143495616804.0821,40349429066.81714,0.0
491518.8338930425,-96275320528.87392,716964933731.6737,0.0,143282274525.29056,39402530233.94702,0.0
506878.7974522001,-96156918545.47878,717489626786.8615,0.0,143068728090.95285,38456208830.840576,0.0
522238.76101135765,-96038404124.07301,718014000691.7946,0.0,142854978866.63177,37510463038.015015,0.0
537598.7245705152,-95919778016.01894,718538056450.9526,0.0,142641028207.46283,36565291043.81885,0.0
552958.6881296728,-95801040966.94902,719061795064.4935,0.0,142426877458.2475,35620691044.39697,0.0
568318.6516888303,-95682193716.81725,719585217528.2715,0.0,142212527953.54556,34676661243.65454,0.0
583678.6152479879,-95563236999.94955,720108324833.8582,0.0,141997981017.7663,33733199853.22168,0.0
599038.5788071455,-95444171545.09407,720631117968.561,0.0,141783237965.25906,32790305092.41809,0.0
614398.542366303,-95324998075.47069,721153597915.4442,0.0,141568300100.4026,31847975188.21826,0.0
629758.5059254606,-95205717308.82022,721675765653.3467,0.0,141353168717.69373,30906208375.215576,0.0
645118.4694846182,-95086329957.45296,722197622156.9026,0.0,141137845101.83496,29965002895.58789,0.0
660478.4330437757,-94966836728.2969,722719168396.5604,0.0,140922330527.8214,29024356999.061768,0.0
675838.3966029333,-94847238322.94528,723240405338.6027,0.0,140706626261.02655,28084268942.87854,0.0
691198.3601620909,-94727535437.70378,723761333945.1646,0.0,140490733557.28745,27144736991.7583,0.0
706558.3237212484,-94607728763.6372,724281955174.2535,0.0,140274653662.98886,26205759417.865723,0.0
721918.287280406,-94487818986.61581,724802269979.7687,0.0,140058387815.14667,25267334500.775757,0.0
737278.2508395636,-94367806787.36081,725322279311.52,0.0,139841937241.4904,24329460527.4386,0.0
